"A1_CITY","A2_PROVINCE","B3_GENDER","B4_AGE","B5_RELIGION","B6_ETHNIC","B7_EDUCATION_LEVEL","B8_LIVED_IN_URBAN_AREA_YEARS","B9_OCCUPATION","B10_SOCIAL_CLAS","B11_HOUSEHOLD_MEMBER","C12_HOUSEHOLD_INCOME_MONTHLY_IN_MILLION_IDR","C13_TIME_OF_INCOME_RECEIPT","C14_HOUSEHOLD_EXPENDITURE_MONTHLY_IN_MILLION_IDR","C15_%_MONTHLY_EXPENDITURE_FOR_FOOD","D16_HEALTH_FACTOR","D17_PRICE_FACTOR","E18_RELIGIOUS_VALUE_IN_TYPE_OF_FOOD","E19_RELIGIOUS_VALUE_IN_EATING_PLACES","E20_RELIGIOUS_VALUE_IN_CONSUMPTION_PATTERN","E21_CUSTOM_VALUE_IN_TYPE_OF_FOOD","E22_CUSTOM_VALUE_IN_EATING_PLACES","E23_CUSTOM_VALUE_IN_CONSUMPTION_PATTERN","24_PRACTICE_OF_FOOD_CONSUMPTION_BASED_ON_RELIGIOUS_RULES","25_PRACTICE_OF_FOOD_CONSUMPTION_BASED_ON_CUSTOM_RULES","E26_BUYING_FOOD_PRODUCT_IN_THE_RIGHT_PLACE_BASED_ON_RELIGIOUS_RULES","E27_TYPE_OF_DISHES_VARIATION_BASED_ON_RELIGIOUS_RULES","E28_PRACTICE_OF_CONSUMING_TRADITIONAL_FOOD","SOURCE_FILE","PROCESS_DATE"
"JAKARTA","DKI JAKARTA","FEMALE","29","ISLAM","JAVA","BACHELOR DEGREE","29","PRIVATE EMPLOYEES","MIDDLE CLASS","7","06:02:00","WEEKLY","05:08:00","43","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","46","ISLAM","JAVA","MASTER AND DOCTORAL DEGREE","46","ENTERPRENEUR","MIDDLE CLASS","8","05:08:00","WEEKLY","05:04:00","38","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","64","ISLAM","OTHER","BACHELOR DEGREE","23","ENTERPRENEUR","LOWER CLASS","7","03:01:00","DAILY","02:07:00","61","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","54","PROTESTANT","JAVA","BACHELOR DEGREE","10","ENTERPRENEUR","LOWER CLASS","7","03:04:00","DAILY","03:00:00","58","AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","47","ISLAM","MINANG","BACHELOR DEGREE","47","ENTERPRENEUR","MIDDLE CLASS","7","05:06:00","WEEKLY","05:02:00","34","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","28","ISLAM","JAVA","BACHELOR DEGREE","28","GOVERNMENT EMPLOYEES","UPPER CLASS","7","12:01:00","MONTHLY","11:07:00","26","AGREE","DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","48","ISLAM","JAVA","SENIOR HIGH SCHOOL","28","GOVERNMENT EMPLOYEES","LOWER CLASS","5","02:09:00","DAILY","02:05:00","57","DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","25","ISLAM","JAVA","DIPLOMA","25","GOVERNMENT EMPLOYEES","UPPER CLASS","6","10:03:00","MONTHLY","09:09:00","24","NEITHER AGREE NOR DISAGREE","DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","39","CATHOLIC","BATAK","DIPLOMA","39","GOVERNMENT EMPLOYEES","UPPER CLASS","6","14:02:00","MONTHLY","13:08:00","27","STRONGLY AGREE","STRONGLY DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","53","PROTESTANT","JAVA","DIPLOMA","21","GOVERNMENT EMPLOYEES","LOWER CLASS","6","03:04:00","DAILY","03:00:00","67","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","57","PROTESTANT","JAVA","DIPLOMA","12","PRIVATE EMPLOYEES","MIDDLE CLASS","6","06:07:00","WEEKLY","06:03:00","36","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","46","ISLAM","JAVA","DIPLOMA","34","PRIVATE EMPLOYEES","MIDDLE CLASS","6","05:08:00","WEEKLY","05:04:00","42","AGREE","AGREE","DISAGREE","AGREE","DISAGREE","DISAGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","53","ISLAM","JAVA","BACHELOR DEGREE","37","PRIVATE EMPLOYEES","LOWER CLASS","7","02:03:00","DAILY","01:09:00","73","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","58","ISLAM","JAVA","DIPLOMA","21","PRIVATE EMPLOYEES","MIDDLE CLASS","6","04:09:00","WEEKLY","04:05:00","41","STRONGLY AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","62","ISLAM","JAVA","MASTER AND DOCTORAL DEGREE","15","ENTERPRENEUR","MIDDLE CLASS","6","05:09:00","WEEKLY","05:05:00","33","AGREE","AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","33","PROTESTANT","JAVA","BACHELOR DEGREE","33","ENTERPRENEUR","UPPER CLASS","6","11:04:00","MONTHLY","11:00:00","19","DISAGREE","STRONGLY DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","37","PROTESTANT","JAVA","DIPLOMA","37","ENTERPRENEUR","LOWER CLASS","6","03:00:00","DAILY","02:06:00","69","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","32","PROTESTANT","JAVA","DIPLOMA","32","ENTERPRENEUR","UPPER CLASS","6","15:07:00","MONTHLY","15:03:00","23","NEITHER AGREE NOR DISAGREE","STRONGLY DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","35","PROTESTANT","JAVA","SENIOR HIGH SCHOOL","35","ENTERPRENEUR","UPPER CLASS","5","13:02:00","MONTHLY","13:01:00","25","NEITHER AGREE NOR DISAGREE","DISAGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","31","CATHOLIC","OTHER","DIPLOMA","31","ENTERPRENEUR","LOWER CLASS","6","03:04:00","DAILY","03:03:00","57","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","27","ISLAM","MINANG","SENIOR HIGH SCHOOL","23","GOVERNMENT EMPLOYEES","MIDDLE CLASS","5","06:08:00","WEEKLY","06:07:00","43","DISAGREE","AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","49","ISLAM","MINANG","SENIOR HIGH SCHOOL","21","GOVERNMENT EMPLOYEES","MIDDLE CLASS","5","04:08:00","WEEKLY","04:07:00","38","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","55","ISLAM","SUNDA","DIPLOMA","12","GOVERNMENT EMPLOYEES","LOWER CLASS","6","02:09:00","DAILY","02:08:00","61","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","54","ISLAM","JAVA","DIPLOMA","15","GOVERNMENT EMPLOYEES","LOWER CLASS","6","03:05:00","DAILY","03:04:00","58","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","47","ISLAM","JAVA","BACHELOR DEGREE","21","GOVERNMENT EMPLOYEES","MIDDLE CLASS","7","05:07:00","WEEKLY","05:06:00","34","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","28","ISLAM","JAVA","DIPLOMA","28","GOVERNMENT EMPLOYEES","UPPER CLASS","6","11:03:00","MONTHLY","11:02:00","26","NEITHER AGREE NOR DISAGREE","DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","48","CATHOLIC","MADURA","DIPLOMA","48","GOVERNMENT EMPLOYEES","LOWER CLASS","6","02:07:00","DAILY","02:06:00","57","NEITHER AGREE NOR DISAGREE","DISAGREE","AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","26","CATHOLIC","JAVA","BACHELOR DEGREE","26","ENTERPRENEUR","UPPER CLASS","7","10:01:00","MONTHLY","10:00:00","24","AGREE","STRONGLY DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","39","PROTESTANT","JAVA","MASTER AND DOCTORAL DEGREE","39","ENTERPRENEUR","UPPER CLASS","8","12:05:00","MONTHLY","12:04:00","27","AGREE","DISAGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","53","ISLAM","JAVA","BACHELOR DEGREE","25","ENTERPRENEUR","LOWER CLASS","7","03:02:00","DAILY","03:01:00","67","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","57","ISLAM","SUNDA","BACHELOR DEGREE","32","ENTERPRENEUR","MIDDLE CLASS","7","06:02:00","WEEKLY","06:01:00","36","AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","46","ISLAM","SUNDA","BACHELOR DEGREE","36","ENTERPRENEUR","MIDDLE CLASS","7","06:04:00","WEEKLY","06:03:00","42","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","53","ISLAM","MINANG","BACHELOR DEGREE","32","ENTERPRENEUR","LOWER CLASS","7","03:07:00","DAILY","03:06:00","73","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","STRONGLY AGREE","AGREE","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","58","ISLAM","MINANG","SENIOR HIGH SCHOOL","21","INDEPENDENT WORKER","MIDDLE CLASS","5","05:09:00","WEEKLY","05:08:00","41","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","62","ISLAM","JAVA","DIPLOMA","22","INDEPENDENT WORKER","MIDDLE CLASS","6","06:07:00","WEEKLY","06:06:00","33","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","49","PROTESTANT","JAVA","MASTER AND DOCTORAL DEGREE","29","INDEPENDENT WORKER","UPPER CLASS","6","10:09:00","MONTHLY","10:08:00","19","AGREE","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","38","PROTESTANT","JAVA","BACHELOR DEGREE","28","INDEPENDENT WORKER","LOWER CLASS","6","03:09:00","DAILY","03:08:00","69","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","25","PROTESTANT","JAVA","BACHELOR DEGREE","25","INDEPENDENT WORKER","UPPER CLASS","6","09:08:00","MONTHLY","09:07:00","23","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","33","ISLAM","JAVA","MASTER AND DOCTORAL DEGREE","33","INDEPENDENT WORKER","UPPER CLASS","6","09:06:00","MONTHLY","09:05:00","25","AGREE","AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","62","ISLAM","SUNDA","BACHELOR DEGREE","24","PRIVATE EMPLOYEES","LOWER CLASS","7","03:06:00","DAILY","03:03:00","58","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","25","ISLAM","JAVA","MASTER AND DOCTORAL DEGREE","25","PRIVATE EMPLOYEES","MIDDLE CLASS","6","05:07:00","WEEKLY","05:04:00","44","DISAGREE","DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","61","ISLAM","JAVA","MASTER AND DOCTORAL DEGREE","26","PRIVATE EMPLOYEES","MIDDLE CLASS","6","06:04:00","WEEKLY","06:01:00","35","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","32","ISLAM","MINANG","BACHELOR DEGREE","32","PRIVATE EMPLOYEES","LOWER CLASS","6","03:04:00","DAILY","03:01:00","59","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
